screen_name,created_at,text
EFSYNTAKTON,2021-06-30,"Από τα δωρεάν self test αποκλείονται πλέον όσοι είναι πλήρως εμβολιασμένοι και έχουν παρέλθει 14 ημέρες από την ολοκλήρωση του εμβολιασμού

https://t.co/tt7IBnFFE9"
EFSYNTAKTON,2021-06-30,"Με το χαρακτηριστικό του ύφος κούνησε το δάχτυλο προς όποιους διαμαρτύρονται για την αλλοπρόσαλλη πολιτική που ακολουθεί η κυβέρνηση, η οποία επιχειρεί να επιβάλει τον εμβολιασμό και να κρύψει τις δικές της ευθύνες για τα χαμηλά ποσοστά εμβολιασμού.
https://t.co/Plz09fXsvu"
EFSYNTAKTON,2021-06-30,"Αφορά πλήρη εμβολιασμό, νόσηση ή αρνητικό τεστ

https://t.co/PN1V5NgN0m"
EFSYNTAKTON,2021-06-30,"Το θέμα της πανδημίας και του εμβολιασμού κυριάρχησε στον διάλογο που είχαν οι δύο άνδρες μπροστά στις τηλεοπτικές κάμερες στο Μέγαρο Μαξίμου

https://t.co/9zUIlfDKzc"
EFSYNTAKTON,2021-06-30,"Με το χαρτζιλίκι στους εμβολιασμένους νέους ο Κυριάκος Μητσοτάκης αντιγράφει τον οπαδό του Τραμπ, κυβερνήτη της Δυτικής Βιρτζίνια Τζιμ Τζάστις, ο οποίος μοιράζει... κατοστάρια (δολάρια) σε νέους 16-35 που εμβολιάζονται

[του Δημήτρη Ψαρρά]
https://t.co/nluM3OQCuk"
EFSYNTAKTON,2021-06-29,"Η μείωση της θετικότητας του τρίτου κύματος την τελευταία εβδομάδα σε σχέση με την πρώτη, παρά τους εμβολιασμούς, είναι μικρότερη από την αντίστοιχή του πρώτου.
[του Μανόλη Δρεττάκη]
https://t.co/oOyUaCzB8M"
EFSYNTAKTON,2021-06-29,"Στην επίθεση περνά η αξιωματική αντιπολίτευση, καλώντας, παράλληλα, τους πολίτες να εμβολιαστούν. 
«Χλιαρή» αντίδραση από το ΚΙΝ.ΑΛΛ.. 
Τα πιστοποιητικά εμβολιασμού των βουλευτών ζητά η Ελληνική Λύση.
https://t.co/N0OzYThINf"
EFSYNTAKTON,2021-06-29,"Σε ποιες χώρες έχει ξεκινήσει ήδη ο εμβολιασμός των εφήβων και σε ποιες αναμένεται να ξεκινήσει το επόμενο διάστημα
https://t.co/eXeIUnwTxG"
EFSYNTAKTON,2021-06-29,"Απαραίτητη λοιπόν η συναίνεση για τον εμβολιασμό για τον COVID-19, όπως και γίνεται με την υπογραφή κάθε εμβολιαζόμενου

[του Χρήστου Τσακαλάκη]
https://t.co/uigk6knfk5"
EFSYNTAKTON,2021-06-29,"Τα μέτρα της κυβέρνησης και οι «διευκολύνσεις» στους εμβολιασμένους
https://t.co/u4vheMDHs7"
EFSYNTAKTON,2021-06-29,"Μεγαλύτερη ελευθερία μετακίνησης για τους εμβολιασμένους, αλλά και καταστήματα δύο ταχυτήτων
https://t.co/397ykn3UPE"
EFSYNTAKTON,2021-06-29,"Η Άποψη της «Εφ.Συν.»
Κίνηση απελπισίας η «Κάρτα Ελευθερίας» των 150 ευρώ, γιατί η κυβέρνηση δεν βλέπει άλλον τρόπο επιτάχυνσης των εμβολιασμών ώστε να φτάσουμε στο λεγόμενο τείχος ανοσίας
https://t.co/sv3ZzoQow0"
EFSYNTAKTON,2021-06-28,"Τα ποσοστά εμβολιαστικής κάλυψης
https://t.co/0jDmpwyT2o"
EFSYNTAKTON,2021-06-28,"Όλη η πολυδιαφημισμένη παρουσίαση για τον εμβολιασμό των νέων ήταν ένα αυθεντικό «Δελφινάριο».

[ του Δημ. Κανελλόπουλου ]
https://t.co/wkUlz2BYY0"
EFSYNTAKTON,2021-06-28,"Aκούσαμε τελικά κι από επίσημα χείλη τον πραγματικό αριθμό των εμβολιασμένων
https://t.co/LwWmZyxHep"
EFSYNTAKTON,2021-06-27,"Η ενισχυτική δόση ίσως γίνει με κάποιο mRNA εμβόλιο - Σε εξέλιξη η έρευνα αν το J&amp;J προστατεύει επαρκώς έναντι του στελέχους Δέλτα
https://t.co/rhs2KdmwK3"
EFSYNTAKTON,2021-06-26,"«Θα το πω απλά: έχοντας πλέον διαθέσιμα εμβόλια και δή τόσο αποτελεσματικά, σχεδόν κάθε θάνατος είναι αποτρέψιμος» τονίζει ο Ηλίας Μόσιαλος
https://t.co/HiRWaxFgEZ"
EFSYNTAKTON,2021-06-25,"Δεύτερες σκέψεις στην επιστημονική κοινότητα που αναζητούν τρόπο για να «τρέξουν» γρηγορότερα τα εμβολιαστικά προγράμματα
https://t.co/Kq9JRNuHfu"
EFSYNTAKTON,2021-06-25,"Δήλωσε ικανοποιημένος από τα Συμπεράσματα της συνόδου για τα ελληνοτουρκικά • Ζήτησε να μην επιβληθούν νέοι περιορισμοί στις μετακινήσεις, τονίζοντας ότι μόνο ο εμβολιασμός μπορεί να μας προστατέψει
https://t.co/FYFbGAW5IZ"
EFSYNTAKTON,2021-06-25,"Προειδοποίηση για την παραλλαγή «Δέλτα» και εκ νέου έκκληση για εμβολιασμό 
https://t.co/9R6UoqhNY5"
EFSYNTAKTON,2021-06-25,"«Mάλωσαν» την Ελλάδα και άλλες χώρες, που δέχονται ελεύθερα τουρίστες, οι οποίοι έχουν εμβολιαστεί με μη εγκεκριμένα στην Ε.Ε. σκευάσματα
https://t.co/YFy8mSZ2q2"
EFSYNTAKTON,2021-06-25,"Αντιπερισπασμός Αδωνι με δηλώσεις Πολάκη για τα εμβόλια
[ Της Έλενας Βαρίνου ]
https://t.co/AbPuquY09w"
