screen_name,created_at,text
skaigr,2021-06-30,Αλλάζει τακτική στους εμβολιασμούς η Γερμανία λόγω χαμηλής προσέλευσης  #Κόσμος #γερμανία #εμβολιασμοί https://t.co/vPx33CeapE
skaigr,2021-06-30,Κορωνοϊός: Το Ελσίνκι θα χορηγήσει εμβόλια σε παιδιά με υψηλό κίνδυνο να νοσήσουν σοβαρά  #Κόσμος #Φινλανδία #κορωνοϊός #πανδημία #εμβόλια #παιδιά https://t.co/V9lNAKQndx
skaigr,2021-06-30,Συγκινεί 7χρονη με υποκείμενο νόσημα από τη Δράμα: «Θέλω να ζήσω» - Καλεί όλους να εμβολιαστούν  #Ελλάδα #Δράμα #7χρονη #υποκείμενα_νοσήματα #εμβολιασμός https://t.co/9WE3AP8uDg
skaigr,2021-06-30,Βρετανία: Χωρίς πιστοποιητικά εμβολιασμού τελικά η είσοδος σε εκδηλώσεις σύμφωνα με δημοσιεύματα  #Κόσμος #Βρετανία #πιστοποιητικό #κορωνοϊός #πανδημία https://t.co/Cga4HiOOFd
skaigr,2021-06-30,Κικίλιας: Από 6 Ιουλίου ξεκινούν οι εμβολιασμοί κατ' οίκον στην Κρήτη για όλους με λίστα  #Ελλάδα #Βασίλης_Κικίλιας #Ηράκλειο_Κρήτης #εμβολιασμός https://t.co/XAcdMv1f42
skaigr,2021-06-30,Εβδομη η Ελλάδα σε εμβολιασμούς στην ΕΕ - Τα συγκριτικά στοιχεία  #Ελλάδα #υπουργικό #εμβολιασμοί #κορωνοϊός https://t.co/tC9QcbNsMT
skaigr,2021-06-30,Μητσοτάκης σε Ιερώνυμο: Η εκκλησία να παροτρύνει τους πολίτες να εμβολιαστούν   #Πολιτική #Μητσοτάκης #Ιερώνυμος #κορωνοϊός #εμβολιασμός https://t.co/jJvZJ1ISJ6
skaigr,2021-06-30,"Γεωργιάδης σε ΣΚΑΪ 100,3 για αν έρθει 4ο κύμα: «Λεφτά δεν έχουμε. Κάποτε τελειώνουν»  #Πολιτική #Άδωνις_Γεωργιάδης #ΣΚΑΪ_ραδιόφωνο #εμβολιασμοί #εστίαση https://t.co/REBMzD5gPr"
skaigr,2021-06-30,Με καθυστέρηση μηνών αποκάλυψε ο Πούτιν το εμβόλιο που έλαβε  #Κόσμος #Πούτιν #Ρωσία #Εμβόλιο #κορωνοϊός https://t.co/Zs2rAnY2vG
skaigr,2021-06-30,"Διευκολύνσεις εμβολιασμένων: Πώς θα λειτουργήσουν εστίαση, θέατρα, αθλητισμός  #Ελλάδα #εμβολιασμός #διευκολύνσεις #εστίαση https://t.co/aKabsl0XhZ"
skaigr,2021-06-30,Ε.Ε: Σύγχυση με τα εμβόλια τρίτων χωρών- Στην ευχέρεια κάθε κράτους ποια θα αναγνωρίσει  #Κόσμος #εμβόλια #σύγχυση #ταξίδια #τρίτες_χώρες https://t.co/3iU4oCAWFb
skaigr,2021-06-30,Ακόμα άγνωστο πότε θα αρθεί η καραντίνα για εμβολιασμένους Βρετανούς που γυρνούν από «πορτοκαλί» χώρες  #Ταξίδι #Βρετανία #κορωνοϊός #πορτοκαλί_χώρες https://t.co/TPaxc97RUy
skaigr,2021-06-30,Βασιλακόπουλος σε ΣΚΑΪ: Τι θα γίνει αν το 90% των καταστημάτων επιλέξουν να είναι μεικτά;  #Ελλάδα #βασιλακόπουλος #εμβολιασμός #προνόμια https://t.co/4DddCb1rts
skaigr,2021-06-30,"Τζανάκης για μετάλλαξη Δέλτα σε ΣΚΑΪ: Κάτω των 30 όσοι νοσούν στην Κρήτη, ακόμα και 8χρονα  #Ελλάδα #Τζανάκης #μετάλλαξη_Δέλτα #νέοι #εμβολιασμός #προνόμια https://t.co/1CCD76jI9U"
skaigr,2021-06-30,Αρνητές εμβολίων: «Κλειδί» για να πειστούν γιατροί και νοσηλευτές  #Υγεία #αρνητές #εμβόλια #γιατροί https://t.co/fwisD805Jy
skaigr,2021-06-29,Η Ρουμανία πουλάει εμβόλια στη Δανία - Οι πολίτες αρνούνται να εμβολιαστούν  #Υγεία #Covid-19 #Ρουμανία #κορωνοϊός #πανδημία https://t.co/qssn1O6KGF
skaigr,2021-06-29,Υποχρεωτικός εμβολιασμός: Το ΣτΕ απέρριψε την προσφυγή υπηρετούντων στην ΕΜΑΚ  #Ελλάδα #ΕΜΑΚ #ολομέλεια #Συμβούλιο_της_Επικρατείας #πυροσβεστική #υποχρεωτικός_εμβολιασμός https://t.co/L9x8v3BJ5P
skaigr,2021-06-29,Άμεσα ξεκινούν οι κατ΄οίκον εμβολιασμοί- Eμβόλιο στο σπίτι από τον δήμο Νίκαιας- Ρέντη  #Υγεία #κορωνοϊός #εμβόλια #Νίκαια #σπίτι https://t.co/0R33XrAg0p
skaigr,2021-06-29,Μαγαζιά για εμβολιασμένους και μη: Τι θα ισχύει για εργαζόμενους- πελάτες -Διευκρινίσεις  #Ελλάδα #κορωνοϊός #εμβολιασμένοι #μαγαζιά https://t.co/5ivlU6JZT1
skaigr,2021-06-29,Αποτελεσματικό κατά της Μετάλλαξης Δέλτα το εμβόλιο της Moderna  #Υγεία #κορωνοϊός #Εμβόλιο #moderna #πανδημία https://t.co/NqgkVD0aKZ
