,title,date,author,summary,body,url
0,Θεοδωρίδου: Έρχεται Το Εμβόλιο Της Johnson & Johnson | Star.gr ,"01.03.21, 19:02",Συντακτική Ομάδα,«Σύντομα θα έχουμε το εμβόλιο της Johnson & Johnson»,"
Στη σημασία των εμβολιασμών κατά του κορωνοϊού αναφέρθηκε κατά τη σημερινή ενημέρωση για τα εμβόλια η πρόεδρος της Εθνικής Επιτροπής Εμβολιασμών, Μαρία Θεοδωρίδου.

Κορωνοϊός: 1.176 νέα κρούσματα στη χώρα - Πάνω από 400 οι διασωληνωμένοι

Όπως είπε, πριν από δύο μήνες ξεκίνησε το εμβολιαστικό πρόγραμμα στην Ελλάδα και σήμερα υπάρχουν διαθέσιμα στη χώρα μας τρία εμβόλια: της Pfizer, της Moderna και της AstraZeneca. Τα συγκεκριμένα εμβόλια είναι αποτελεσματικά και απένταντι στη βρετανική μετάλλαξη.
Τα στοιχεία που χαρακτηρίζουν τα εμβόλια, όπως έχουν δείξει μέχρι τώρα, είναι η ασφάλεια, η πρόληψη σοβαρής νόσου, η αποφυγή εισαγωγής στο νοσοκομείο, η πρόληψη των θανάτων, η πρόληψη της ήπιας και μέτριας νόσου και τέλος η μείωση της ασυμπτωματικής λοίμωξης.
Προ των πυλών το εμβόλιο Johnson & Johnson
Η κ. Θεοδωρίδου αναφέρθηκε και στο εμβόλιο Johnson & Johnson, το οποίο είναι αποτελεσματικό κατά 86% για σοβαρή νόσο και 100% για θάνατο. 

Εμβόλια: Mύθοι και αλήθειες για τις παρενέργειες και την ασφάλειά τους

«Αναμένεται τους επόμενους μήνες να έχουμε ένα νέο εμβόλιο της Johnson & Johnson που είναι αποτελεσματικό κατά 86% για την πρόληψη σοβαρής νόσου και 100% για την πρόληψη θανάτου» σημείωσε.
Καμία δόση δεν ακυρώνεται ακόμα και αν καθυστερήσει η δεύτερη
Αναφερόμενη στα τρία πρώτα εμβόλια, η καθηγήτρια τόνισε ότι καμία δόση δεν ακυρώνεται ακόμα και αν καθυστερήσει η δεύτερη δόση.
Επισήμανε ότι ορισμένοι μπορεί να νοσήσουν ακόμα και από την πρώτη και δεύτερη δόση, αλλά αυτό δε μειώνει την αποτελεσματικότητα του εμβολίου. Ανέφερε επίσης ότι ακόμα και όσοι έχουν νοσήσει θα πρέπει να εμβολιαστούν.
Τέλος, τόνισε τη σημασία της τήρησης των μέτρων ακόμα και από αυτούς που έχουν κάνει το εμβόλιο. «Μάσκες, τήρηση αποστάσεων, μέτρα υγιεινής θα πρέπει να ακολουθούν και όσοι έχουν εμβολιαστεί. Σε περιβάλλον με υψηλό ιικό φορτίο μπορούν να μολυνθούν και να συντελέσουν στη μετάδοση και οι εμβολιασμένοι» είπε.
Διαβάστε όλες τις ειδήσεις από την Ελλάδα και τον Κόσμο.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837763216-0');
            });
        

",https://www.star.gr/eidiseis/ellada/534402/theodwridoy-erxetai-to-embolio-ths-johnson-johnson
1,AstraZeneca: Αποτελεσματικό Κατά Σχεδόν 100% Το Εμβόλιο | Star.gr ,"19.02.21, 10:53",Συντακτική Ομάδα,Αποτρέπει μια σοβαρή εξέλιξη της νόσου,"
«Το εμβόλιο της AstraZeneca κατά του κορωνοϊού προστατεύει σε ποσοστό σχεδόν 100% από τη σοβαρή εξέλιξη της Covid-19», τόνισε ο αντιπρόεδρος του γερμανικού παραρτήματος της βρετανοσουηδικής εταιρείας, Κλάους Χίντερντινγκ, αντικρούοντας τους ισχυρισμούς που θέλουν το συγκεκριμένο εμβόλιο να έχει χαμηλό επίπεδο αποτελεσματικότητας.

ΠΟΥ: Το εμβόλιο της AstraZeneca συνιστάται και στους άνω των 65 ετών

«Το εμβόλιο προστατεύει σχεδόν στο 100% από την σοβαρή εξέλιξη της νόσου. Αυτό έχει αποδειχθεί πολύ ξεκάθαρα στις κλινικές μελέτες», δήλωσε ο κ. Χίντερντινγκ μιλώντας στο Ραδιόφωνο Βερολίνου-Βρανδεμβούργου rbb.

ΠΟΥ: Το εμβόλιο της AstraZeneca μπορεί να μη λειτουργεί στις μεταλλάξεις

Διευκρίνισε ότι δημιουργείται σύγχυση από το γεγονός ότι αναφέρεται πως η αποτελεσματικότητά του σε ό,τι αφορά στην προστασία από πιθανή μόλυνση φθάνει στο 70%, ενώ εκείνη των εμβολίων των εταιριών BioNTech/Pfizer και Moderna υπερβαίνει το 90%. 

Εμβόλιο Astrazeneca: Λιγότερο αποτελεσματικό στην αφρικανική μετάλλαξη

«Αυτό που προκαλεί σύγχυση είναι η διαφορά μεταξύ προστασίας από το να κολλήσει κανείς την λοίμωξη και προστασίας από την ενδεχόμενη σοβαρή εξέλιξη της ασθένειας», σημείωσε το στέλεχος της AstraZeneca Γερμανίας, για να καταλήξει λέγοντας ότι «το σημαντικότερο είναι ότι οποιοδήποτε εμβόλιο προστατεύει περισσότερο από τον μη-εμβολιασμό και ότι το χειρότερο που μπορεί να κάνει κάποιος είναι να μην εμβολιαστεί καθόλου».
 
Διαβάστε όλες τις ειδήσεις από την Ελλάδα και τον Κόσμο.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837763216-0');
            });
        

",https://www.star.gr/eidiseis/kosmos/533160/astrazeneca-apotelesmatiko-kata-sxedon-100-to-embolio
2,Μαρία Ναυπλιώτου: Θα Κάνει Ή Όχι Το Εμβόλιο Του Κορωνοϊού; | Star.gr ,"24.01.21, 15:00",Συντακτική Ομάδα,Η ηθοποιός ήταν καλεσμένη στο TRACTION με τον Κώστα Στεφανή,"
Στο σημερινό επεισόδιο του TRACTION, ο Κώστας Στεφανής υποδέχτηκε τη Μαρία Ναυπλιώτου και μαζί γνώρισαν το καινούργιο και δυναμικό Audi Α3.

Ταλαντούχα και καταξιωμένη Ελληνίδα ηθοποιός χωρίς ίχνος μακιγιάζ!



Μαρία Ναυπλιώτου: Ποζάρει με μαγιό στα 50 της και εντυπωσιάζει

Μετά την οδηγική τους εμπειρία, ο Κώστας Στεφανής ρώτησε τη σπουδαία ηθοποιό με τις συγκλονιστικές ερμηνείες στο θέατρο, τη μικρή και τη μεγάλη οθόνη, αν εν μέσω πανδημίας, κάνει σχέδια για το μέλλον.
Η Μαρία Ναυπλιώτου απάντησε πως είναι νωρίς ακόμα για να κάνει σχέδια, γιατί η εποχή μας είναι πολύ δύσκολη.

«Η αλήθεια είναι ότι είναι τόσο δύσκολη η εποχή μας, που αυτό που εύχομαι αυτή τη στιγμή είναι να είμαστε όλοι καλά, οι άνθρωποι που αγαπώ κι εγώ και να υπάρχουν όσο το δυνατόν λιγότερες απώλειες. Να εμβολιαστούμε όλοι σιγά σιγά και να μπούμε σε μία κανονικότητα με το πέρασμα το χρόνου. Κι εφόσον είμαστε υγιείς, μετά όλα θα πάρουν τον δρόμο τους», ανέφερε χαρακτηριστικά η ηθοποιός.
Διαβάστε όλες τις lifestyle ειδήσεις
 
Διαβάστε όλα τα lifestyle νεα, για Celebrities και Media.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837894283-0');
            });
        

",https://www.star.gr/lifestyle/media/529942/maria-naypliwtoy-tha-kanei-h-oxi-to-embolio-toy-korwnoioy
3,Παπαδάκης: Θα Κάνω Το Εμβόλιο | Star.gr ,"04.01.21, 16:09",Συντακτική Ομάδα,Τι είπε στην εκπομπή της Φαίης Σκορδά,"
Για την κατάσταση που επικρατεί λόγω της πανδημίας του κορωνοϊού, το εμβόλιο που αναμένεται και το τρίτο κύμα κορωνοϊού που περιμένουν οι επιδημιολόγοι μίλησε ο Γιώργος Παπαδάκης στην εκπομπή της Φαίης Σκορδά, που πήγε καλεσμένος το πρωί της Δευτέρας.

Παπαδάκης: Αποκάλυψε πώς γνώρισε τον σύντροφο της Φαίης Σκορδά

«Μετά το καλοκαίρι πιστεύω θα επιστρέψουμε σε μία κανονικότητα. Εγώ θα είμαι από τους πρώτους που θα κάνουν το εμβόλιο», είπε χαρακτηριστικά ο παρουσιαστής. 
 
Διαβάστε όλα τα lifestyle νεα, για Celebrities και Media.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837894283-0');
            });
        

",https://www.star.gr/lifestyle/media/527537/papadakhs-tha-kanw-to-embolio
4,Βερολίνο: Κοντά Σε Συμφωνία με τη Ρωσία Για το Εμβόλιο | Star.gr ,"19.03.21, 19:38",Συντακτική Ομάδα,"Όσα δήλωσε ο Υπουργός Υγείας της Γερμανίας, Γενς Σπαν","
Ξεκίνησε η αξιολόγηση του Sputnik V από τις Βρυξέλλες- ρεπορτάζ μεσημεριανού δελτίου ειδήσεων Star 4/3/21
Ο υπουργός Υγείας της Γερμανίας Γενς Σπαν δήλωσε σήμερα ότι θα τάσσετο υπέρ της υπογραφής συμφωνίας με την Ρωσία για την προμήθεια του εμβολίου κατά του κορωνοϊού Sputnik V.

Sputnik V: Η Ευρώπη ξεκινά διαδικασίες για την έγκρισή του
Sputnik V: Η Ρωσία έχει συμφωνήσει με 4 ευρωπαϊκές χώρες για το εμβόλιό της

«Φαντάζομαι ότι ολοκληρώνουμε συμβόλαια και τα ολοκληρώνουμε γρήγορα», είπε στη διάρκεια της εβδομαδιαίας συνέντευξης Τύπου και πρόσθεσε ότι η Γερμανία βρίσκεται σε στενή επικοινωνία με τη Ρωσία για θέματα που αφορούν το εμβόλιο.

Ρώσοι επιστήμονες: Το Sputnik V είναι αποτελεσματικό στις μεταλλάξεις!

Μια προϋπόθεση, ωστόσο, είναι να υπάρξουν περισσότερες λεπτομέρειες σχετικά με την ποσότητα των δόσεων εμβολίου που μπορεί να παραδοθεί, είπε ο υπουργός.
«Είμαι πολύ υπέρ του να το κάνουμε σε εθνικό επίπεδο, αν η ΕΕ δεν κάνει κάτι», πρόσθεσε ο Σπαν.
Διαβάστε όλες τις ειδήσεις από την Ελλάδα και τον Κόσμο.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837763216-0');
            });
        

",https://www.star.gr/eidiseis/kosmos/536613/berolino-konta-se-symfwnia-me-th-rwsia-gia-to-embolio
5,ΕΜΑ: Αξιολόγηση Του Εμβολίου Της Novavax | Star.gr ,"04.02.21, 16:23",Θάνος Αθανασίου,Πώς λειτουργεί το «NVX-CoV2373»,"
O Eυρωπαϊκός Οργανισμός Φαρμάκων (EMA) ανακοίνωσε ότι η επιτροπή ανθρωπίνων φαρμάκων (CHMP) ξεκίνησε κυλιόμενη αξιολόγηση στο εμβόλιο της Novavax «NVX-CoV2373».
Σύμφωνα με την ανακοίνωση, η απόφαση βασίζεται σε προκαταρκτικά στα αποτελέσματα των εργαστηριακών μελετών και πρώιμων κλινικών μελετών σε ενήλικες που υποδηλώνουν ότι το εμβόλιο ενεργοποιεί την παραγωγή αντισωμάτων και ανοσοκυττάρων που στοχεύουν το SARS-CoV-2.

AstraZeneca: Μέχρι το φθινόπωρο το εμβόλιο για τις νέες μεταλλάξεις

Όπως σημειώνεται, η εταιρεία διεξάγει επί του παρόντος δοκιμές σε ανθρώπους για να εκτιμήσουν την ασφάλειά της, την ανοσογονικότητά της (πόσο καλά ενεργοποιεί μια αντίδραση κατά του ιού) και την αποτελεσματικότητά της έναντι της COVID-19. O EMA θα αξιολογήσει δεδομένα από αυτές και άλλες κλινικές δοκιμές όταν αυτά είναι διαθέσιμα.
Η κυλιόμενη ανασκόπηση θα συνεχιστεί έως ότου υπάρχουν αρκετά αποδεικτικά στοιχεία για μια επίσημη αίτηση άδειας κυκλοφορίας.
O EMA θα αξιολογήσει τη συμμόρφωση του εμβολίου με τα συνήθη πρότυπα αποτελεσματικότητας, ασφάλειας και φαρμακευτικής ποιότητας και σημειώνει ότι δεν μπορεί να προβλέψει τα συνολικά χρονοδιαγράμματα έγκρισης, αλλά διευκρινίζει ότι θα χρειαστεί λιγότερος χρόνος από το κανονικό για την αξιολόγηση μιας ενδεχόμενης εφαρμογής, λόγω της εργασίας που έγινε κατά την κυλιόμενη αξιολόγηση.
Πώς λειτουργεί το συγκεκριμένο εμβόλιο 
Κατά τον ΕΜΑ «όπως και άλλα εμβόλια, το NVX-CoV2373 αναμένεται να προετοιμάσει το σώμα για να αμυνθεί από τη μόλυνση. Το εμβόλιο είναι ένα εμβόλιο με βάση την πρωτεΐνη που περιέχει μικροσκοπικά σωματίδια που κατασκευάζονται από μια εργαστηριακά εκδοχή της πρωτεΐνης spike (S) που βρίσκεται στην επιφάνεια του κορωνοϊού SARS-CoV-2. Περιέχει επίσης ένα «ανοσο-ενισχυτικό», μια ουσία που βοηθά στην ενίσχυση των ανοσολογικών αντιδράσεων στο εμβόλιο.

Αλλαγή σειράς στους εμβολιασμούς: Ποιες ηλικίες θα προηγηθούν τελικά  

Όταν ένα άτομο λαμβάνει το εμβόλιο, το ανοσοποιητικό του σύστημα θα αναγνωρίσει τα σωματίδια πρωτεΐνης ως ξένα και θα παράγει φυσικές άμυνες - αντισώματα και Τ κύτταρα - εναντίον τους. Εάν αργότερα, το εμβολιασμένο άτομο έρθει σε επαφή με το SARS-CoV-2, το ανοσοποιητικό σύστημα θα αναγνωρίσει την ακίδα πρωτεΐνη στον ιό και θα είναι έτοιμο να του επιτεθεί. Τα αντισώματα και τα ανοσοκύτταρα μπορούν να προστατεύσουν από το COVID-19 συνεργαζόμενοι για να σκοτώσουν τον ιό, να αποτρέψουν την είσοδό του στα κύτταρα του σώματος και να καταστρέψουν τα μολυσμένα κύτταρα.
Διαβάστε όλες τις ειδήσεις από την Ελλάδα και τον Κόσμο.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837763216-0');
            });
        

",https://www.star.gr/eidiseis/kosmos/531383/ema-axiologhsh-toy-embolioy-ths-novavax
6,Covid: Δε Σχετίζονται Οι Θάνατοι Στη Νορβηγία Με Το Εμβόλιο | Star.gr ,"18.01.21, 19:08",Συντακτική Ομάδα,«Το εμβόλιο δεν προκαλεί νόσο»,"
Στη διαθεσιμότητα των εμβολίων για τον κορωνοϊό αλλά και στους θανάτους στη Νορβηγία αναφέρθηκε κατά τη σημερινή ενημέρωση η πρόεδρος της Εθνικής Επιτροπής Εμβολιασμών, Μαρία Θεοδωρίδου.

Μητσοτάκης προς ΕΕ: Να προχωρήσουν άμεσα οι εγκρίσεις άλλων εμβολίων  

«Έχουν εμβολιαστεί μέχρι σήμερα 40 εκατ. άνθρωποι σε 51 χώρες», ανέφερε, τονίζοντας ότι στην Ελλάδα ο μαζικός εμβολιασμός ξεκίνησε από τους ηλικιωμένους 85 ετών και άνω. «Το κριτήριο της επιλογής αυτής της ηλικίας είναι πως η πιθανότητα θνητότητας από τη λοίμωξη είναι αυξημένες ακόμα και με 10 φορές περισσότερα» τόνισε η κ. Θεοδωρίδου.
Όπως εξήγησε, ο έλεγχος ανοσογονικότητας, η αποτελεσματικότητα εμβολίων και η ασφάλεια τους είναι τα βασικά χαρακτηριστικά των εμβολίων. Η παρακολούθηση για τυχόν ανεπιθύμητες ενέργειες συνεχίζεται και μετά την χορήγησή τους. Σε κάθε χώρα καταγράφονται όλα τα περιστατικά ανεπιθύμητων ενεργειών και όλα υφίστανται ενδελεχή έλεγχο, δηλαδή, εάν συνδέεται η ανεπιθύμητη ενέργεια με τον εμβολιασμό.
«Οι θάνατοι στη Νορβηγία δε σχετίζονται με τα εμβόλια»
Αναφερόμενη σε δημοσιεύματα για σειρά θανάτων στην Νορβηγία, υποστήριξε ότι όλα τα περιστατικά εξετάστηκαν διεξοδικά και δεν εντοπίστηκε συσχέτιση των θανάτων με την εφαρμογή των εμβολίων.

Κορωνοϊός: 320 νέα κρούσματα - Κάτω από 20 οι νέοι θάνατοι

«Τα περιστατικά αυτά, εξετάστηκαν διεξοδικά και πριν λίγες ώρες εκδόθηκε ανακοίνωση στην οποία αναφέρεται πως δεν υπάρχει συσχέτιση των θανάτων με τα εμβόλια. Ο αριθμός των θανάτων δεν υπερβαίνει τον αναμενόμενο για αυτές τις ηλικίες. Ο αριθμός των θανάτων ανθρώπων που ζουν σε δομές στη Νορβηγία είναι περίπου 400 την εβδομάδα. Ανάλογα περιστατικά δεν έχουν παρουσιαστεί σε άλλα κράτη. Όσο αυξάνει ο αριθμός των εμβολιασμών τόσο αυξάνεται το ποσοστό να εμφανιστούν τέτοια περιστατικά» είπε.
«Το εμβόλιο δεν προκαλεί νόσο»
Απαντώντας σε ερωτήσεις, η κ. Θεοδωρίδου ξεκαθάρισε ότι το εμβόλιο δεν προκαλεί νόσο. Όπως είπε, με όριο 15 μέρες πριν από τον εμβολιασμό και 15 μετά μπορεί να γίνουν τα εμβόλια γρίπης και πνευμονιόκοκκου.
Διαβάστε όλες τις ειδήσεις από την Ελλάδα και τον Κόσμο.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837763216-0');
            });
        

",https://www.star.gr/eidiseis/ellada/529222/covid-de-sxetizontai-oi-thanatoi-sth-norbhgia-me-to-embolio
7,Έλενα Ασημακοπούλου: Έκανε Το Εμβόλιο Για Τον Κορωνοϊό | Star.gr ,"01.06.21, 23:12",Συντακτική Ομάδα,Η τρυφερή ανάρτηση στο Instagram,"
Στιγμιότυπα απότην καθημερινότητα της ηθοποιού
Ακόμα ένα όνομα προστέθηκε στη λίστα με τα ονόματα των διασήμων που εμβολιάστηκαν κατά του κορωνοϊού.

Το πρόβλημα υγείας που ταλαιπωρεί την Έλενα Ασημακοπούλου

Αυτή δεν είναι άλλη από την Έλενα Ασημακοπούλου, η οποία εμβολιάστηκε, προκειμένου να επιστρέψει με ασφάλεια σιγά σιγά στην καθημερινότητά της.

Ασημακοπούλου: Ο υπέροχος στολισμός του σπιτιού για τα γενέθλια του Τσιρίλο




 

 
 


 


View this post on Instagram

 


 
 
 


 
 


 
 
 



 
 

A post shared by 𝐸𝓁𝑒𝓃𝒶 𝒜𝓈𝒾𝓂𝒶𝓀𝑜𝓅𝑜𝓊𝓁𝑜𝓊 𝒪𝒻𝒻𝒾𝒸𝒾𝒶𝓁 (@elena_asimakopoulou)



Η ηθοποιός θέλησε να το μοιραστεί με τους διαδικτυακούς της φίλους στο Instagram μιας και αρκετοί είναι αυτοί που το  δημοσιοποιούν.
«Το έκανα», σχολίασε η Έλενα Ασημακοπούλου στο στιγμιότυπο που ανέβασε στο Instagram μέσα από το νοσοκομείο «Αλεξάνδρα».
 



 

 
 


 


View this post on Instagram

 


 
 
 


 
 


 
 
 



 
 

A post shared by 𝐸𝓁𝑒𝓃𝒶 𝒜𝓈𝒾𝓂𝒶𝓀𝑜𝓅𝑜𝓊𝓁𝑜𝓊 𝒪𝒻𝒻𝒾𝒸𝒾𝒶𝓁 (@elena_asimakopoulou)



Διαβάστε όλα τα lifestyle νεα, για Celebrities και Media.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837894283-0');
            });
        

",https://www.star.gr/lifestyle/celebrities/545370/elena-ashmakopoyloy-ekane-to-embolio-gia-ton-korwnoio
8,AstraZeneca & Σύνδρομο Guillain-Barré - Τι Εξετάζει ο ΕΜΑ | Star.gr ,"07.05.21, 15:12",Συντακτική Ομάδα,Στο μικροσκόπιο και παρενέργειες από τα εμβόλια mRNA,"
Όσα είπε η κ. Θεοδωρίδου για το εμβόλιο της AstraZeneca στην ενημέρωση για τα εμβόλια (5/5)
Πληροφορίες σχετικά με πιθανές παρενέργειες μετά τη χορήγηση του εμβολίου της AstraZeneca, όπως την εμφάνιση του συνδρόμου Guillain-Barré, εξετάζει ο Ευρωπαϊκός Οργανισμός Φαρμάκων (ΕΜΑ). 

Μ.Βρετανία: Εναλλακτικό εμβόλιο αντί για AstraZeneca στους κάτω των 40 ετών

Πρόκειται για ένα σπάνιο νόσημα που προκαλεί παράλυση και μούδιασμα συνήθως στα άνω και κάτω άκρα. Ωστόσο, δεν είναι το μόνο εμβόλιο που αξιολογείται για σύνδεση με ανεπιθύμητες παρενέργειες. 
Σε άλλες περιπτώσεις στις οποίες χορηγήθηκε εμβόλιο τύπου mRNA, όπως αυτό της Pfizer, αναφέρθηκαν περιστατικά μυοκαρδίτιδας και περικαρδίτιδας. Ερευνάται επίσης αν τα εμβόλια τέτοιου τύπου συνδέονται με σπάνια περιστατικά ασυνήθιστων θρομβώσεων.

Εμβόλιο: AstraZeneca και Pfizer αποτελεσματικά κατά 87% από την πρώτη δόση

Αξίζει να σημειωθεί ότι για το εμβόλιο της Johnson & Johnson, η θρόμβωση και της θρομβοκυτταροπενία θα προστεθούν ως «σημαντικός αναγνωρισμένος κίνδυνος».
Διαβάστε όλες τις ειδήσεις από την Ελλάδα και τον Κόσμο.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837763216-0');
            });
        

",https://www.star.gr/eidiseis/kosmos/542287/astrazeneca-syndromo-guillain-barre-ti-exetazei-o-ema
9,Pfizer: Αποτελεσματικό Το Εμβόλιο Στην Παραλλαγή Δέλτα | Star.gr ,"24.06.21, 14:40",Συντακτική Ομάδα,Η αποτελεσματικότητά του φτάνει στο 90%,"
Συναγερμός στην Ευρώπη για την παραλλαγή Δέλτα μετά τη σταδιακή χαλάρωση των μέτρων. Βίντεο: Κεντρικό δελτίο ειδήσεων του Star
Συναγερμός έχει σημάνει στην παγκόσμια κοινότητα μετά την ραγδαία εξάπλωση της παραλλαγής Δέλτα του κορωνοϊού που εντοπίζεται διαρκώς σε νέα κρούσματα. Την ίδια ώρα, ανησυχία επικρατεί για το αν τα μέχρι τώρα διαθέσιμα εμβόλια είναι αποτελεσματικά σε αυτή την μετάλλαξη.

Παραλλαγή Δέλτα: Εξαπλώνεται ραγδαία πλέον και στην Ευρώπη!

Το εμβόλιο των Pfizer/BioNTech φαίνεται να είναι πολύ αποτελεσματικό κατά της παραλλαγής Δέλτα που ταυτοποιήθηκε για πρώτη φορά στην Ινδία και αρχίζει να επικρατεί σε όλον τον κόσμο.

Παραλλαγή Δέλτα: Όσα γνωρίζουμε - Κατά πόσο μας προστατεύουν τα εμβόλια


Όπως ανέφερε στέλεχος της εταιρίας Pfizer στο Ισραήλ, τα δεδομένα που έχουμε σήμερα, τα οποία έχουν συγκεντρωθεί από έρευνα που διεξήχθη στο εργαστήριο και περιλαμβάνει δεδομένα από τα μέρη όπου η ινδική παραλλαγή, έχει αντικαταστήσει τη βρετανική ως η συνήθης παραλλαγή, δείχνουν ότι το εμβόλιό είναι πολύ αποτελεσματικό, περίπου 90%, στην πρόληψη της νόσου Covid-19 που προκαλεί ο κορωνοϊός.
Σημειώνεται ότι το Ισραήλ που διεξάγει μια από τις πιο προηγμένες εκστρατείες εμβολιασμού στον κόσμο και βασίζεται σε μεγάλο βαθμό στο εμβόλιο των Pfizer/BioNTech, εξακολουθεί να μην έχει αρκετά δεδομένα για να καταδειχθεί η αποτελεσματικότητα του εμβολίου κατά της παραλλαγής Δέλτα, δήλωσε η Σάρον Αλρόι-Πράις, αρμόδια για τη δημόσια υγεία στο υπουργείο Υγείας του Ισραήλ.
Τέλος, από ανάλυση της Υπηρεσίας Δημόσιας Υγείας Αγγλίας (PHE), όπου η παραλλαγή Δέλτα είναι πιο διαδεδομένη, διαπιστώθηκε πως τόσο το εμβόλιο των Pfizer/BioNTech όσο και εκείνο της AstraZeneca προσφέρουν πάνω από 90% προστασία από το ενδεχόμενο της νοσηλείας εξαιτίας της παραλλαγής Δέλτα.
 
Διαβάστε όλες τις ειδήσεις από την Ελλάδα και τον Κόσμο.


            googletag.cmd.push(function(){
                googletag.display('div-gpt-ad-1618837763216-0');
            });
        

",https://www.star.gr/eidiseis/kosmos/547952/pfizer-apotelesmatiko-to-embolio-sthn-parallagh-delta
